id,Names,ScreenNames,Tweets,Tweets After Clean,Predictions
804517017080336384,Myong _Wisley,Myong_Wisley,#Music #Movie A Country Tribute To #CarrieUnderwood CD NEW SEALED https://t.co/kUEDgSKbYw #BestBuy #Sale https://t.co/qAb9bgmac0,#music #movi a countri tribut to #carrieunderwood cd new seal #bestbuy #sale,1
804515889064210432,Johnny Depp Fans,JohnnyDeppFans7,❤#Entertainment #JohnnyDepp Sweeney Todd SIGNED 11x14 Photo COA #Auction #BestBuy https://t.co/Sii10gA24y… https://t.co/egCJztIXEO,❤#entertain #johnnydepp sweeney todd sign 11x14 photo coa #auction #bestbuy …,0
804515585707024384,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment pirates of the caribbean dvd lot edward scissorhands sweeney todd #JohnnyDepp… https://t.co/ZAtS1N0DDX,#entertain pirat of the caribbean dvd lot edward scissorhand sweeney todd #johnnydepp…,1
804510991862022144,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment 8 - #JohnnyDepp - DVD Movie Collection Set (Lot 1383) https://t.co/NimPmplGpL #Auction #BestBuy https://t.co/17SBsxW3z0,#entertain 8 - #johnnydepp - dvd movi collect set (lot 1383) #auction #bestbuy,0
804508079853359108,AbanCommercials,abancommercials,#BestBuy Propel Star Wars Themed Quadcopters TV Commercial https://t.co/ksKRBcUMWs https://t.co/HyGYPcOK5u,#bestbuy propel star war theme quadcopt tv commerci,1
804507804153344000,AbanCommercials,abancommercials,#BestBuy High Roller Self-Balancing Scooter TV Commercial https://t.co/Konl6sKScN https://t.co/WXyhCCnv1d,#bestbuy high roller self-balanc scooter tv commerci,0
804507217055522817,Myong _Wisley,Myong_Wisley,#Music #Movie Signed MIRANDA LAMBERT #CarrieUnderwood 8.5x11 photo Hand Autographed COA https://t.co/HVzCI100TW… https://t.co/rWjk71ZE3s,#music #movi sign miranda lambert #carrieunderwood 8.5x11 photo hand autograph coa …,1
804506156773216256,Johnny Depp Fans,JohnnyDeppFans7,❤#Entertainment RANGO #JohnnyDepp (2011) DVD BRAND NEW #Auction #BestBuy https://t.co/IlLPpDwwXI… https://t.co/P4CDLEXBzh,❤#entertain rango #johnnydepp (2011) dvd brand new #auction #bestbuy …,0
804505906364829696,Johnny Depp Fans,JohnnyDeppFans7,"#Entertainment Alice in Wonderland (Blu-ray/DVD, 2010, 3-Disc Set) Disney #JohnnyDepp https://t.co/Zrwb2hmGkw… https://t.co/TNF3phECzd","#entertain alic in wonderland (blu-ray/dvd, 2010, 3-disc set) disney #johnnydepp …",0
804502666126598144,Myong _Wisley,Myong_Wisley,"#Music #Movie Some Hearts by #CarrieUnderwood (CD, Nov-2005, Arista) https://t.co/qwvUexBLzI #BestBuy #Sale https://t.co/gKU8IlrPNX","#music #movi some heart by #carrieunderwood (cd, nov-2005, arista) #bestbuy #sale",1
804501490802900993,Johnny Depp Fans,JohnnyDeppFans7,"❤#Entertainment The Astronauts Wife (Blu-ray Disc, 2012), #JohnnyDepp, Charlize Theron, NEW!!! #Auction #BestBuy https://t.co/syRiP8OkqE","❤#entertain the astronaut wife (blu-ray disc, 2012), #johnnydepp, charliz theron, new!! #auction #bestbuy",1
804501246212087808,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment #JohnnyDepp Sweeney Todd SIGNED 11x14 Photo COA https://t.co/4Ev5slYIet #Auction #BestBuy https://t.co/Sii10gA24y,#entertain #johnnydepp sweeney todd sign 11x14 photo coa #auction #bestbuy,1
804497620722814976,Myong _Wisley,Myong_Wisley,#Music #Movie 2015 CHRISTMAS Luke Bryan HUNTER HAYES Darius Rucker #CarrieUnderwood 2 CD https://t.co/CokcKKrsJS… https://t.co/CtWSkPGnBo,#music #movi 2015 christma luke bryan hunter hay dariu rucker #carrieunderwood 2 cd …,1
804496867136507904,Trish McFarlane,TrishMcFarlane,"@FrankZupan No, I was hoping to have this tv before the move. Since they didn't bring it, I had no choice but to cancel it. #bestbuy #fail","no, i wa hope to have thi tv befor the move. sinc they didn't bring it, i had no choic but to cancel it. #bestbuy #fail",1
804496200967733249,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment DISNEY'S ALICE IN WONDERLAND #JohnnyDepp DVD BRAND NEW https://t.co/iBSUwR6mfS #Auction #BestBuy https://t.co/s4aSn2Xqod,#entertain disney' alic in wonderland #johnnydepp dvd brand new #auction #bestbuy,1
804493854271569920,Enzo R,VRusso21,@BestBuy this is such a wonderful gift from #BestBuy #12DaysOfDell. Having this #Sweepstakes for a well known #Windows experience!,thi is such a wonder gift from #bestbuy #12daysofdell. have thi #sweepstak for a well known #window experience!,1
804492876893732864,Myong _Wisley,Myong_Wisley,#Music #Movie Bo Bice Richie Sambora #CarrieUnderwood Inside Your Heart FREE US SHIPPING https://t.co/OplecZbaFh… https://t.co/a97BqfYvqg,#music #movi bo bice richi sambora #carrieunderwood insid your heart free us ship …,0
804492775563595776,Bullshit Free Zone,OpLGBT,Clinton and Trump Holiday Gift Cards Available At #Bestbuy https://t.co/JIA1hsGTiz,clinton and trump holiday gift card avail at #bestbuy,1
804491566341423105,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment RANGO #JohnnyDepp (2011) DVD BRAND NEW https://t.co/YVNr0Ts6FM #Auction #BestBuy https://t.co/IlLPpDwwXI,#entertain rango #johnnydepp (2011) dvd brand new #auction #bestbuy,1
